day,side,reason,short,qty,credit,actual,held,delta_pnl,touched_after_exit,settle
2025-09-10,bull,risk_off_reversal,6515,15,1387.5,-1500.0,1387.5,2887.5,0,6531.9
2025-09-10,bear,sr_inner_breach,6555,15,787.5000000000001,-374.9999999999999,787.5,1162.5,0,6531.9
2025-09-12,bull,sr_inner_breach,6565,15,862.5,-1350.0000000000005,862.5,2212.5,0,6583.97
2025-09-15,bull,risk_off_reversal,6580,15,562.4999999999999,-225.0000000000001,562.5,787.5,0,6615.97
2025-09-16,bear,sr_inner_breach,6630,15,937.5,375.0,937.5,562.5,0,6606.64
2025-09-18,bull,risk_off_reversal,6595,15,2062.5,374.9999999999998,2062.5,1687.5,0,6631.17
2025-09-19,bear,sr_inner_breach,6660,15,1462.4999999999998,149.99999999999977,-2797.5,-2947.5,1,6662.84
2025-09-25,bull,risk_off_reversal,6565,15,1837.5,-450.0,1837.5,2287.5,0,6604.2
2025-09-26,bear,risk_off_reversal,6650,15,1837.5,225.0,1837.5,1612.5,0,6643.54
2025-09-30,bull,risk_off_reversal,6625,15,1312.5000000000002,-1349.9999999999998,1312.5,2662.5,0,6687.06
2025-10-02,bear,risk_off_reversal,6740,15,1387.5,900.0,1387.5,487.5,0,6715.8
2025-10-03,bull,risk_off_reversal,6710,15,1312.4999999999998,-75.00000000000045,1312.5,1387.5,1,6715.86
2025-10-03,bear,sr_inner_breach,6745,15,562.5,-600.0,562.5,1162.5,0,6715.86
2025-10-15,bull,risk_off_reversal,6650,15,1612.5000000000002,-524.9999999999998,1612.5,2137.5,1,6671.5
2025-10-24,bull,risk_off_reversal,6760,15,1312.5,-750.0,1312.5,2062.5,0,6791.14
2025-10-27,bull,risk_off_reversal,6815,15,1387.5,-1125.0,1387.5,2512.5,0,6874.5
2025-11-05,bull,risk_off_reversal,6755,15,2287.5,2175.0,2287.5,112.5,0,6795.95
2025-11-06,bear,sr_inner_breach,6760,15,2962.5,-2700.0,2962.5,5662.5,0,6721.72
2025-11-07,bear,risk_off_reversal,6715,15,3112.5,1875.0,-17917.5,-19792.5,1,6729.02
2025-11-10,bear,risk_off_reversal,6815,15,1237.5000000000002,-1049.9999999999998,-23992.5,-22942.5,1,6831.82
2025-11-11,bear,risk_off_reversal,6850,15,937.5,-600.0,937.5,1537.5,1,6848.09
2025-11-18,bear,risk_off_reversal,6675,15,3262.5000000000005,-2399.9999999999995,3262.5,5662.5,0,6616.94
2025-11-21,bear,risk_off_reversal,6620,15,3862.5,-4125.000000000002,3862.5,7987.5,1,6603.8
2025-12-01,bull,risk_off_reversal,6795,15,1387.5,600.0,1387.5,787.5,0,6814.65
2025-12-02,bull,risk_off_reversal,6800,15,1612.5000000000002,-3449.999999999999,1612.5,5062.5,0,6827.83
2025-12-02,bear,sr_inner_breach,6850,15,1087.5,-525.0,1087.5,1612.5,0,6827.83
2025-12-05,bull,risk_off_reversal,6830,15,1612.5000000000002,-1424.9999999999993,1612.5,3037.5,0,6869.07
2025-12-05,bear,sr_inner_breach,6885,15,1912.4999999999995,-1200.000000000001,1912.5,3112.5,0,6869.07
2025-12-09,bull,sr_inner_breach,6830,15,1462.5,-900.0,1462.5,2362.5,0,6840.32
2025-12-15,bear,risk_off_reversal,6865,15,2437.5,0.0,2437.5,2437.5,0,6816.34
2025-12-16,bear,risk_off_reversal,6825,15,1687.5000000000002,1200.0000000000002,1687.5,487.5,0,6798.51
2025-12-18,bull,risk_off_reversal,6765,15,1162.5,-2549.9999999999995,1162.5,3712.5,1,6774.35
2025-12-19,bull,risk_off_reversal,6770,15,1687.4999999999998,-4.547473508864641e-13,1687.5,1687.5,0,6834.7
2025-12-22,bull,risk_off_reversal,6850,15,1162.5,299.9999999999999,1162.5,862.5,0,6876.49
2025-12-26,bear,sr_inner_breach,6955,15,862.5,-749.9999999999998,862.5,1612.5,0,6930.52
2025-12-30,bear,sr_inner_breach,6920,15,1087.5,-750.0,1087.5,1837.5,0,6896.45
2025-12-31,bear,risk_off_reversal,6910,15,1537.5,525.0,1537.5,1012.5,0,6845.77
