tid,day,side,K,Kl,credit,qty,ex_min,actual_pnl,held_pnl,settle_ok,sigma,era,pnl_headline,pnl_actual_bs,pnl_chain,chain_ok
109,2025-07-10,p,6235.0,6195.0,1312.5,15,392,1312.5,1312.5,1,0.0931,HELDOUT,1273.7979842331256,1312.5,112.5,True
110,2025-07-11,p,6225.0,6185.0,1837.5,15,105,-2325.0,1837.5,1,0.09390000000000001,HELDOUT,1837.1682452055563,1659.9109260457135,1200.0,True
111,2025-07-14,p,6230.0,6190.0,1237.4999999999998,15,390,1237.4999999999998,1237.4999999999998,1,0.11539999999999999,HELDOUT,1236.8817873619255,1237.4999999999998,974.9999999999998,True
112,2025-07-15,c,6305.0,6345.0,1387.5,15,393,1387.5,1387.5,1,0.12119999999999999,HELDOUT,990.5727587778956,1387.5,187.5,True
113,2025-07-16,c,6265.0,6305.0,1012.5,15,201,-674.9999999999998,1012.5,1,0.1161,HELDOUT,776.6764167351573,437.99142422943464,37.50000000000023,True
114,2025-07-17,p,6250.0,6210.0,1237.5,15,394,1237.5,1237.5,1,0.1066,HELDOUT,1221.2417437926356,1237.5,637.5,True
115,2025-07-18,c,6330.0,6370.0,1162.5,15,390,1162.5,1162.5,1,0.10769999999999999,HELDOUT,1148.1725170172197,1162.5,937.5,True
116,2025-07-21,p,6295.0,6255.0,1312.5,15,318,825.0,1312.5,1,0.09630000000000001,HELDOUT,1296.9026888883277,1312.4831588761842,787.5,True
117,2025-07-23,p,6315.0,6275.0,862.5,15,395,862.5,862.5,1,0.08460000000000001,HELDOUT,849.2104054244865,862.5,150.0000000000001,True
118,2025-07-24,p,6345.0,6305.0,1387.5,15,162,-450.0000000000002,1387.5,1,0.10060000000000001,HELDOUT,1387.2691981688151,1189.3479284345956,1162.5,True
119,2025-07-25,p,6345.0,6305.0,787.5000000000001,15,392,787.5000000000001,787.5000000000001,1,0.099,HELDOUT,787.2132220494466,787.5000000000001,487.50000000000017,True
120,2025-07-28,c,6410.0,6450.0,937.5,15,122,-450.0,937.5,1,0.0892,HELDOUT,931.631521319194,328.4390110932369,,False
121,2025-07-29,c,6410.0,6450.0,787.4999999999999,15,392,787.4999999999999,787.4999999999999,1,0.0793,HELDOUT,427.75602319184316,787.4999999999999,-187.5000000000001,True
122,2025-07-31,c,6395.0,6435.0,2812.5,15,392,2812.5,2812.5,1,0.1441,HELDOUT,2772.0886698800473,2812.5,450.0,True
123,2025-08-05,c,6360.0,6400.0,1237.5,15,394,1237.5,1237.5,1,0.11289999999999999,HELDOUT,703.3155618043374,1237.5,-262.5,True
124,2025-08-06,p,6275.0,6235.0,1687.4999999999998,15,392,1687.4999999999998,1687.4999999999998,1,0.1207,HELDOUT,1475.0249431793948,1687.4999999999998,-1050.0000000000002,True
125,2025-08-07,c,6405.0,6445.0,1387.5,15,390,1387.5,1387.5,1,0.10830000000000001,HELDOUT,1314.1036211094736,1387.5,150.0,True
126,2025-08-08,p,6340.0,6300.0,1237.5000000000002,15,129,-1499.9999999999998,1237.5000000000002,1,0.1243,HELDOUT,1237.077238399648,640.2965902286946,937.5000000000002,True
127,2025-08-11,c,6405.0,6445.0,412.50000000000006,15,257,-299.99999999999994,412.50000000000006,1,0.10339999999999999,HELDOUT,411.6060047014755,164.2723510033956,262.5000000000001,True
128,2025-08-12,p,6385.0,6345.0,862.5000000000001,15,393,862.5000000000001,862.5000000000001,1,0.1483,HELDOUT,862.4433054689616,862.5000000000001,787.5000000000001,True
129,2025-08-13,c,6485.0,6525.0,787.4999999999999,15,352,599.9999999999999,787.4999999999999,1,0.0928,HELDOUT,691.298126668152,787.492217169234,,False
130,2025-08-14,p,6425.0,6385.0,1237.5,15,100,-375.0,1237.5,1,0.0947,HELDOUT,1216.8131282356437,1189.3368009031872,-37.50000000000023,True
131,2025-08-18,c,6460.0,6500.0,487.5,15,210,-300.0,487.5,1,0.11259999999999999,HELDOUT,-460.82300876287013,-460.82300876287013,-112.5,True
132,2025-08-19,p,6425.0,6385.0,1387.5,15,57,-299.9999999999998,-18412.499999999727,0,0.0789,HELDOUT,890.9210885055411,1252.4670308678576,-1050.0,True
133,2025-08-19,c,6455.0,6495.0,1012.5,15,393,1012.5,1012.5,1,0.0789,HELDOUT,907.0139596272568,1012.5,-262.5,True
134,2025-08-21,p,6335.0,6295.0,2212.5,15,103,-750.0000000000005,2212.5,1,0.10800000000000001,HELDOUT,2195.452821952551,2093.359226735849,37.5,True
135,2025-08-21,c,6385.0,6425.0,1312.5,15,245,-1049.9999999999995,1312.5,1,0.10800000000000001,HELDOUT,1244.2056164740115,1028.844376942532,-112.5,True
136,2025-08-22,p,6425.0,6385.0,1687.4999999999998,15,392,1687.4999999999998,1687.4999999999998,1,0.18059999999999998,HELDOUT,1687.1910209976886,1687.4999999999998,,False
137,2025-08-25,p,6440.0,6400.0,1012.5,15,214,75.0,187.49999999972715,0,0.0924,HELDOUT,1005.0273501213799,781.5674981058951,,False
138,2025-08-26,p,6415.0,6375.0,1237.4999999999998,15,262,674.9999999999998,1237.4999999999998,1,0.081,HELDOUT,1237.188742674405,1236.6713594685034,937.4999999999998,True
139,2025-08-27,p,6440.0,6400.0,1162.5,15,177,-75.0,1162.5,1,0.0757,HELDOUT,1153.9529129004304,1159.2656499931047,337.5000000000001,True
140,2025-09-03,c,6450.0,6490.0,787.5000000000001,15,206,-524.9999999999999,787.5000000000001,1,0.1166,HELDOUT,40.96174444337737,40.96174444337737,-262.4999999999999,True
141,2025-09-04,c,6480.0,6520.0,1162.5,15,55,-1050.0,-31087.5,0,0.09910000000000001,HELDOUT,937.9168105410338,-466.26286978895246,112.5,True
142,2025-09-04,p,6435.0,6395.0,1612.5000000000002,15,390,1612.5000000000002,1612.5000000000002,1,0.09910000000000001,HELDOUT,1355.5931544139207,1612.5000000000002,-300.0,True
143,2025-09-05,c,6505.0,6545.0,1762.5000000000002,15,392,1762.5000000000002,1762.5000000000002,1,0.1353,HELDOUT,1427.0692841336027,1762.5000000000002,-562.4999999999993,True
