day,side,reason,vix1d,regime,entry_et,exit_et,short,D_entry,pmkt_entry,D_exit,pmkt_exit,actual_pnl,held_pnl,touched_after_exit,settle_beyond
2025-03-24,p,risk_off_reversal,16.14,elevated,10:59,13:35,5710.0,2.176,0.7861,2.79,0.8992,750.0000000000003,1612.5,0,1
2025-03-25,p,risk_off_reversal,13.03,mid,10:41,11:54,5740.0,2.413,0.8261,1.909,0.7298,-374.9999999999998,1612.5,0,1
2025-03-26,c,expiration,11.64,mid,10:29,16:01,5790.0,2.036,0.8666,,,1912.5,1912.5,0,1
2025-03-27,p,risk_off_reversal,16.14,elevated,10:19,11:41,5650.0,2.736,0.8712,2.685,0.8789,824.9999999999998,2587.5,0,1
2025-03-28,c,expiration,16.73,elevated,11:54,16:01,5660.0,2.664,0.9552,,,1912.4999999999995,1912.5,0,1
2025-03-31,p,expiration,24.48,elevated,10:50,16:03,5465.0,2.196,0.7877,,,2437.5,2437.5,0,1
2025-04-02,p,expiration,19.25,elevated,10:07,16:01,5545.0,2.673,0.8587,,,2962.5,2962.5,0,1
2025-04-03,c,risk_off_reversal,30.69,elevated,11:54,12:14,5535.0,2.237,0.9076,1.843,0.8344,-2175.0000000000005,2962.5,0,1
2025-04-04,c,expiration,32.35,elevated,11:31,16:01,5315.0,3.325,0.9873,,,4237.5,4237.5,0,1
2025-04-07,p,risk_off_reversal,74.77,elevated,11:43,12:49,4830.0,2.575,0.8673,2.206,0.8062,-75.00000000000182,4462.5,0,1
2025-04-08,c,expiration,69.36,elevated,12:05,16:02,5285.0,1.322,0.6806,,,3862.499999999999,3862.5,0,1
2025-04-09,p,expiration,72.14,elevated,13:10,16:01,4885.0,2.221,0.8102,,,3112.5,3112.5,0,1
2025-04-10,c,risk_off_reversal,52.09,elevated,11:02,14:29,5435.0,2.356,0.9232,3.705,0.9919,-450,3262.5,0,1
2025-04-14,c,risk_off_reversal,51.88,elevated,11:47,14:23,5470.0,1.428,0.7185,1.278,0.6452,1124.9999999999998,2812.5,0,1
2025-04-15,c,expiration,27.98,elevated,13:02,16:01,5455.0,1.675,0.7909,,,2587.5000000000005,2587.5,0,1
2025-04-16,p,risk_off_reversal,25.1,elevated,11:30,11:49,5285.0,2.408,0.835,2.019,0.7568,-2324.999999999999,-10147.5,1,0
2025-04-16,c,expiration,25.1,elevated,13:37,16:03,5370.0,2.751,0.9573,,,2212.5000000000005,2212.5,0,1
2025-04-17,c,risk_off_reversal,33.65,elevated,10:30,11:08,5350.0,1.935,0.8454,1.31,0.6791,-2025.000000000001,2737.5,0,1
2025-04-17,p,risk_off_reversal,33.65,elevated,12:38,15:16,5240.0,2.014,0.7608,2.842,0.9076,2250,3112.5,0,1
2025-04-21,c,expiration,32.26,elevated,11:14,16:01,5235.0,2.085,0.8843,,,2287.5,2287.5,0,1
2025-04-23,c,risk_off_reversal,28.87,elevated,12:39,12:59,5470.0,2.578,0.9466,2.458,0.9343,-299.99999999999955,2887.5,0,1
2025-04-24,p,expiration,29.74,elevated,10:10,16:03,5325.0,2.137,0.7615,,,3187.5000000000005,3187.5,0,1
2025-04-25,p,risk_off_reversal,26.2,elevated,12:29,13:51,5450.0,1.791,0.7031,2.172,0.799,-750,1987.5,0,1
2025-04-28,c,risk_off_reversal,23.28,elevated,11:14,15:20,5565.0,1.613,0.7778,4.098,0.9964,2175,2512.5,0,1
2025-04-30,p,risk_off_reversal,21.77,elevated,11:14,12:33,5425.0,2.826,0.8959,2.947,0.915,300,2587.5,0,1
2025-05-01,p,risk_off_reversal,23.96,elevated,10:29,11:54,5560.0,2.333,0.8082,2.446,0.8435,225.00000000000045,2212.5,0,1
2025-05-02,p,expiration,26.92,elevated,10:31,16:03,5605.0,1.741,0.6695,,,2137.4999999999995,2137.5,0,1
2025-05-08,c,risk_off_reversal,19.81,elevated,10:14,10:34,5715.0,2.414,0.9202,1.78,0.8123,-2024.999999999999,3112.5,1,1
2025-05-08,p,sr_inner_breach,19.81,elevated,14:34,15:08,5675.0,2.158,0.7972,1.819,0.7173,-1050,-15547.5,1,0
2025-05-09,c,expiration,18.73,elevated,10:25,16:00,5730.0,2.319,0.9109,,,1087.4999999999998,1087.5,0,1
2025-05-12,p,expiration,25.91,elevated,14:14,16:02,5795.0,1.711,0.6864,,,1087.4999999999998,1087.5,0,1
2025-05-13,p,expiration,17.5,elevated,10:07,16:01,5820.0,2.111,0.7539,,,1912.4999999999995,1912.5,0,1
2025-05-15,p,expiration,15.2,elevated,10:06,16:00,5830.0,2.227,0.7785,,,1912.4999999999995,1912.5,0,1
2025-05-16,p,expiration,14.63,elevated,12:21,16:00,5900.0,1.922,0.7359,,,1312.5000000000002,1312.5,0,1
2025-05-19,p,expiration,13.12,mid,10:07,16:03,5875.0,3.259,0.9271,,,1537.5,1537.5,0,1
2025-05-20,p,risk_off_reversal,12.86,mid,10:45,11:30,5910.0,2.286,0.8035,2.19,0.7921,-150,1612.5,1,1
2025-05-21,p,risk_off_reversal,12.96,mid,11:07,13:17,5875.0,2.699,0.878,1.752,0.6958,-2700,-44407.5,1,0
2025-05-21,c,expiration,12.96,mid,14:26,16:03,5895.0,2.85,0.9605,,,2437.5,2437.5,0,1
2025-05-22,p,risk_off_reversal,17.62,elevated,10:09,11:47,5800.0,2.32,0.7984,2.353,0.8259,599.9999999999995,3037.5,0,1
2025-05-23,p,expiration,16.29,elevated,10:43,16:02,5730.0,2.906,0.8996,,,3037.5000000000005,3037.5,0,1
2025-05-27,p,expiration,21.18,elevated,12:41,16:00,5880.0,1.497,0.6171,,,1537.5,1537.5,0,1
2025-05-28,c,expiration,12.57,mid,10:20,16:01,5955.0,2.031,0.8625,,,1462.5,1462.5,0,1
2025-05-29,c,risk_off_reversal,19.16,elevated,10:14,13:03,5965.0,1.939,0.8413,2.551,0.9439,1650,2437.5,0,1
2025-05-30,p,risk_off_reversal,16.89,elevated,10:29,12:23,5850.0,2.285,0.7981,1.468,0.6063,-4350,2362.5,1,1
2025-05-30,c,risk_off_reversal,16.89,elevated,12:49,14:14,5910.0,2.912,0.9711,1.699,0.7831,-3074.999999999999,1987.5,1,1
2025-06-04,c,risk_off_reversal,11.7,mid,12:07,13:01,6005.0,2.02,0.8723,1.855,0.8366,300,1462.5,0,1
2025-06-09,p,risk_off_reversal,14.14,mid,12:57,15:47,5985.0,1.94,0.7441,5.898,0.9995,1199.9999999999998,1312.5,0,1
2025-06-12,p,expiration,13.76,mid,10:13,16:03,5975.0,2.351,0.8054,,,1837.5,1837.5,0,1
2025-06-13,c,risk_off_reversal,12.51,mid,10:31,10:56,6025.0,2.578,0.9428,1.437,0.7225,-4500,1912.5,1,1
2025-06-13,p,risk_off_reversal,12.51,mid,12:32,13:10,5975.0,2.965,0.9163,2.569,0.8682,-1274.9999999999993,1312.5,1,1
2025-06-17,p,risk_off_reversal,12.45,mid,10:14,10:43,5975.0,2.471,0.8276,2.136,0.7716,-525,1462.5,1,1
2025-06-17,c,expiration,12.45,mid,13:36,16:00,6030.0,2.103,0.8799,,,862.5,862.5,0,1
2025-06-20,c,expiration,22.32,elevated,10:12,16:01,6035.0,1.204,0.6186,,,1837.5,1837.5,0,1
2025-06-24,p,expiration,13.43,mid,11:28,16:04,6040.0,2.192,0.7925,,,1012.5,1012.5,0,1
2025-06-25,c,expiration,11.3,mid,11:28,16:01,6120.0,1.5,0.7437,,,1312.5,1312.5,0,1
2025-06-26,p,expiration,9.94,calm,10:25,16:00,6085.0,2.325,0.8042,,,1012.5,1012.5,0,1
2025-06-27,p,risk_off_reversal,10.67,calm,10:06,13:45,6135.0,2.375,0.8074,3.107,0.9324,-2.2737367544323206e-13,1162.5,1,1
2025-06-30,c,risk_off_reversal,12.15,mid,11:18,11:31,6215.0,1.92,0.854,1.751,0.8147,-299.9999999999993,1687.5,1,1
2025-07-01,c,sr_inner_breach,10.01,calm,11:14,11:23,6210.0,2.091,0.8867,1.451,0.7284,-1425,1237.5,1,1
2025-07-01,p,sr_inner_breach,10.01,calm,13:27,15:00,6180.0,2.119,0.7864,2.551,0.8683,-75,1012.5,0,1
2025-07-02,p,expiration,9.3,calm,10:10,16:01,6165.0,2.588,0.8456,,,1387.5,1387.5,0,1
2025-07-07,c,expiration,14.25,mid,10:38,16:00,6280.0,1.413,0.7067,,,862.5000000000001,862.5,0,1
2025-07-08,c,sr_inner_breach,11.1,mid,11:26,11:46,6250.0,1.748,0.8142,1.279,0.6667,-900,1387.5,0,1
2025-07-09,c,risk_off_reversal,9.92,calm,12:16,13:10,6270.0,2.245,0.9093,2.272,0.9107,-75,787.5,0,1
2025-07-10,p,expiration,9.31,calm,10:46,16:02,6235.0,2.367,0.819,,,1312.5,1312.5,0,1
2025-07-11,p,risk_off_reversal,9.39,calm,10:22,11:15,6225.0,2.457,0.8275,1.988,0.7451,-2325,1837.5,0,1
2025-07-14,p,expiration,11.54,mid,11:16,16:00,6230.0,1.57,0.6314,,,1237.4999999999998,1237.5,0,1
2025-07-15,c,expiration,12.12,mid,10:35,16:03,6305.0,1.54,0.7465,,,1387.5,1387.5,0,1
2025-07-16,c,sr_inner_breach,11.61,mid,12:13,12:51,6265.0,1.925,0.8533,1.424,0.7162,-674.9999999999998,1012.5,1,1
2025-07-17,p,expiration,10.66,calm,11:11,16:04,6250.0,2.222,0.7968,,,1237.5,1237.5,0,1
2025-07-18,c,expiration,10.77,calm,10:14,16:00,6330.0,1.678,0.7783,,,1162.5,1162.5,0,1
2025-07-21,p,risk_off_reversal,9.63,calm,10:06,14:48,6295.0,2.143,0.7601,4.375,0.9903,825,1312.5,0,1
2025-07-23,p,expiration,8.46,calm,12:57,16:05,6315.0,2.466,0.8512,,,862.5,862.5,0,1
2025-07-24,p,risk_off_reversal,10.06,calm,10:56,12:12,6345.0,2.024,0.7508,1.851,0.7166,-450.0000000000002,1387.5,0,1
